date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:48	1479/1479	---M--	200	added ('OK')	text/plain	etag:%2226e30-5c7-52a7258e99eb9%22	https://chapters.bc.edu/robots.txt		(from )
11:40:48	20547/20547	---M-Z	200	added ('OK')	text/html	etag:%221472566420-1%22	https://chapters.bc.edu/	C:/My%20Web%20Sites/testmirror/index-2.html	(from )
11:40:49	20560/20560	---M-Z	200	added ('OK')	text/html	etag:%221472571648-1%22	https://chapters.bc.edu/node/1	C:/My%20Web%20Sites/testmirror/node/1.html	(from https://chapters.bc.edu/)
11:40:49	20555/20555	---M-Z	200	added ('OK')	text/html	etag:%221472571649-1%22	https://chapters.bc.edu/home	C:/My%20Web%20Sites/testmirror/home.html	(from https://chapters.bc.edu/)
11:40:49	5428/5428	---M--	200	added ('OK')	text/css	etag:%228330a-1534-52a72585b5c95%22	https://bostonliteraryhistory.com/modules/system/system.base.css?o1vzsw	C:/My%20Web%20Sites/testmirror/modules/system/system.base063b.css	(from https://chapters.bc.edu/)
11:40:50	2035/2035	---M--	200	added ('OK')	text/css	etag:%2283322-7f3-52a725865b508%22	https://bostonliteraryhistory.com/modules/system/system.menus.css?o1vzsw	C:/My%20Web%20Sites/testmirror/modules/system/system.menus063b.css	(from https://chapters.bc.edu/)
11:40:50	961/961	---M--	200	added ('OK')	text/css	etag:%2283311-3c1-52a72586781f9%22	https://bostonliteraryhistory.com/modules/system/system.messages.css?o1vzsw	C:/My%20Web%20Sites/testmirror/modules/system/system.messages063b.css	(from https://chapters.bc.edu/)
11:40:50	3711/3711	---M--	200	added ('OK')	text/css	etag:%228330e-e7f-52a72587a46ae%22	https://bostonliteraryhistory.com/modules/system/system.theme.css?o1vzsw	C:/My%20Web%20Sites/testmirror/modules/system/system.theme063b.css	(from https://chapters.bc.edu/)
11:40:50	184/184	---M--	200	added ('OK')	text/css	etag:%228334d-b8-52a72559031b4%22	https://bostonliteraryhistory.com/modules/comment/comment.css?o1vzsw	C:/My%20Web%20Sites/testmirror/modules/comment/comment063b.css	(from https://chapters.bc.edu/)
11:40:50	550/550	---M--	200	added ('OK')	text/css	etag:%2283416-226-52a7255d4e7a1%22	https://bostonliteraryhistory.com/modules/field/theme/field.css?o1vzsw	C:/My%20Web%20Sites/testmirror/modules/field/theme/field063b.css	(from https://chapters.bc.edu/)
11:40:51	991/991	---M--	200	added ('OK')	text/css	etag:%22838aa-3df-51b0be3faf51e%22	https://bostonliteraryhistory.com/sites/all/modules/logintoboggan/logintoboggan.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/modules/logintoboggan/logintoboggan063b.css	(from https://chapters.bc.edu/)
11:40:51	144/144	---M--	200	added ('OK')	text/css	etag:%22832c8-90-52a725656c5e0%22	https://bostonliteraryhistory.com/modules/node/node.css?o1vzsw	C:/My%20Web%20Sites/testmirror/modules/node/node063b.css	(from https://chapters.bc.edu/)
11:40:51	564/564	---M--	200	added ('OK')	text/css	etag:%22831bf-234-52a7256ae5fc3%22	https://bostonliteraryhistory.com/modules/search/search.css?o1vzsw	C:/My%20Web%20Sites/testmirror/modules/search/search063b.css	(from https://chapters.bc.edu/)
11:40:51	1827/1827	---M--	200	added ('OK')	text/css	etag:%22832ea-723-52a7258cbe168%22	https://bostonliteraryhistory.com/modules/user/user.css?o1vzsw	C:/My%20Web%20Sites/testmirror/modules/user/user063b.css	(from https://chapters.bc.edu/)
11:40:52	707/707	---M--	200	added ('OK')	text/css	etag:%2262d3c-2c3-51b0bbe31ac52%22	https://bostonliteraryhistory.com/sites/all/modules/views/css/views.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/modules/views/css/views063b.css	(from https://chapters.bc.edu/)
11:40:52	509/509	---M--	200	added ('OK')	text/css	etag:%226320b-1fd-52a725e14af6a%22	https://bostonliteraryhistory.com/sites/all/modules/ctools/css/ctools.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/modules/ctools/css/ctools063b.css	(from https://chapters.bc.edu/)
11:40:52	843/843	---M--	200	added ('OK')	text/css	etag:%22a2ddc-34b-4c837d4d9dad5%22	https://bostonliteraryhistory.com/sites/all/modules/panels/css/panels.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/modules/panels/css/panels063b.css	(from https://chapters.bc.edu/)
11:40:52	288/288	---M--	200	added ('OK')	text/css	etag:%22473f7-120-4baadbc5e5369%22	https://bostonliteraryhistory.com/sites/all/modules/typogrify/typogrify.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/modules/typogrify/typogrify063b.css	(from https://chapters.bc.edu/)
11:40:52	902/902	---M--	200	added ('OK')	text/css	etag:%2262bda-386-4b6353e248764%22	https://bostonliteraryhistory.com/sites/all/themes/adaptivetheme/adaptivetheme/css/at.base.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/adaptivetheme/adaptivetheme/css/at.base063b.css	(from https://chapters.bc.edu/)
11:40:53	4669/4669	---M--	200	added ('OK')	text/css	etag:%2262bdb-123d-4b6353e329a49%22	https://bostonliteraryhistory.com/sites/all/themes/adaptivetheme/adaptivetheme/css/at.layout.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/adaptivetheme/adaptivetheme/css/at.layout063b.css	(from https://chapters.bc.edu/)
11:40:53	1457/1457	---M--	200	added ('OK')	text/css	etag:%2262bdd-5b1-4b6353e621e03%22	https://bostonliteraryhistory.com/sites/all/themes/adaptivetheme/adaptivetheme/css/at.messages.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/adaptivetheme/adaptivetheme/css/at.messages063b.css	(from https://chapters.bc.edu/)
11:40:53	548/548	---M--	200	added ('OK')	text/css	etag:%2262cc2-224-4b763d3f644b0%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/fonts.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/fonts063b.css	(from https://chapters.bc.edu/)
11:40:53	1989/1989	---M--	200	added ('OK')	text/css	etag:%2262c5f-7c5-4b76352216d03%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/html-elements.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/html-elements063b.css	(from https://chapters.bc.edu/)
11:40:54	4301/4301	---M--	200	added ('OK')	text/css	etag:%2262c5e-10cd-4b6357698145c%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/forms.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/forms063b.css	(from https://chapters.bc.edu/)
11:40:54	1378/1378	---M--	200	added ('OK')	text/css	etag:%2262c6d-562-4b635777d8aa6%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/tables.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/tables063b.css	(from https://chapters.bc.edu/)
11:40:54	1288/1288	---M--	200	added ('OK')	text/css	etag:%2262c5d-508-4b635768e503a%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/fields.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/fields063b.css	(from https://chapters.bc.edu/)
11:40:54	2760/2760	---M--	200	added ('OK')	text/css	etag:%2262c67-ac8-4bbcbeb55f849%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/page.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/page063b.css	(from https://chapters.bc.edu/)
11:40:54	5124/5124	---M--	200	added ('OK')	text/css	etag:%2262c66-1404-4b82e196ac969%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/navigation.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/navigation063b.css	(from https://chapters.bc.edu/)
11:40:55	1232/1232	---M--	200	added ('OK')	text/css	etag:%2262c59-4d0-4b6357665084d%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/articles.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/articles063b.css	(from https://chapters.bc.edu/)
11:40:55	1632/1632	---M--	200	added ('OK')	text/css	etag:%2262c5b-660-4b63576772af8%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/comments.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/comments063b.css	(from https://chapters.bc.edu/)
11:40:55	1602/1602	---M--	200	added ('OK')	text/css	etag:%2262c5a-642-4b635766ca258%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/blocks.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/blocks063b.css	(from https://chapters.bc.edu/)
11:40:55	3521/3521	---M--	200	added ('OK')	text/css	etag:%22a2e57-dc1-4b82ffbcaedb2%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/colorbox/colorbox.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/colorbox/colorbox063b.css	(from https://chapters.bc.edu/)
11:40:56	1781/1781	---M--	200	added ('OK')	text/css	etag:%2262f55-6f5-4b82d3ecb9d91%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/jquery.jscrollpane.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/jquery.jscrollpane063b.css	(from https://chapters.bc.edu/)
11:40:56	9393/9393	---M--	200	added ('OK')	text/css	etag:%2262b3e-24b1-4b8314f1ab3f1%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/jplayer.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/jplayer063b.css	(from https://chapters.bc.edu/)
11:40:56	28725/28725	---M--	200	added ('OK')	text/css	etag:%2262c8a-7035-52ab70f58053b%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/style_override.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/style_override063b.css	(from https://chapters.bc.edu/)
11:40:57	3064/3064	---M--	200	added ('OK')	text/css	etag:%2262c69-bf8-4b635772134bb%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/print.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/print063b.css	(from https://chapters.bc.edu/)
11:40:57	2598/2598	---M--	200	added ('OK')	text/css	etag:%222809d-a26-4b751de42cb13%22	https://bostonliteraryhistory.com/sites/default/files/at_css/forgottenchapters.responsive.layout.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/default/files/at_css/forgottenchapters.responsive.layout063b.css	(from https://chapters.bc.edu/)
11:40:57	593/593	---M--	200	added ('OK')	text/css	etag:%2262c57-251-4bb91a01ce2e2%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/forgottenchapters.responsive.style.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/forgottenchapters.responsive.style063b.css	(from https://chapters.bc.edu/)
11:40:57	2747/2747	---M--	200	added ('OK')	text/css	etag:%2262c56-abb-4b635764ce1ca%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/forgottenchapters.responsive.gpanels.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/forgottenchapters.responsive.gpanels063b.css	(from https://chapters.bc.edu/)
11:40:58	28514/28514	---M-Z	200	added ('OK')	text/html	etag:%221472569274-1%22	https://chapters.bc.edu/about	C:/My%20Web%20Sites/testmirror/about.html	(from https://chapters.bc.edu/)
